open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746057600000,0.172170,0.172190,0.172090,0.172150,1108202,1746057659999,190773.684110,602,382029,65766.006090,0
1746057660000,0.172170,0.172300,0.172120,0.172120,827623,1746057719999,142520.345840,1611,222261,38275.741900,0
1746057720000,0.172120,0.172340,0.172090,0.172310,1309201,1746057779999,225451.818480,770,576072,99224.257730,0
1746057780000,0.172300,0.172390,0.172020,0.172050,845878,1746057839999,145668.742410,650,194498,33503.779850,0
1746057840000,0.172060,0.172470,0.171990,0.172460,7139692,1746057899999,1229459.590480,1297,3524345,606561.722090,0
1746057900000,0.172460,0.172600,0.172260,0.172330,2500508,1746057959999,431246.120200,1078,984304,169781.771720,0
1746057960000,0.172330,0.172560,0.172330,0.172480,889949,1746058019999,153459.630290,676,542105,93469.014990,0
1746058020000,0.172480,0.172540,0.172200,0.172460,1682784,1746058079999,290154.848250,745,354762,61158.428280,0
1746058080000,0.172450,0.172580,0.172390,0.172580,554921,1746058139999,95711.215720,479,444361,76643.664640,0
1746058140000,0.172580,0.172600,0.172410,0.172500,2360359,1746058199999,407217.639800,741,1037471,179008.239600,0
1746058200000,0.172500,0.172680,0.172500,0.172670,923391,1746058259999,159360.617400,468,486346,83934.074340,0
1746058260000,0.172670,0.172770,0.172590,0.172760,1788062,1746058319999,308747.370860,804,1124788,194216.343090,0
1746058320000,0.172760,0.172770,0.172540,0.172570,2953598,1746058379999,509963.362340,688,332837,57458.462030,0
1746058380000,0.172560,0.172780,0.172560,0.172690,858953,1746058439999,148315.340810,528,312068,53878.560840,0
1746058440000,0.172690,0.172690,0.172460,0.172560,3101923,1746058499999,535211.632830,657,949703,163861.824350,0
1746058500000,0.172570,0.172730,0.172560,0.172710,963274,1746058559999,166332.144940,841,343631,59328.067600,0
1746058560000,0.172720,0.172720,0.172420,0.172420,1614724,1746058619999,278760.718750,454,173672,29965.713370,0
1746058620000,0.172420,0.172510,0.172220,0.172330,2337316,1746058679999,402850.959290,794,741793,127878.536560,0
1746058680000,0.172330,0.172360,0.172210,0.172300,898900,1746058739999,154877.475240,458,320575,55236.409530,0
1746058740000,0.172290,0.172500,0.172280,0.172500,1039537,1746058799999,179238.139040,434,840394,144903.998990,0
1746058800000,0.172500,0.172680,0.172490,0.172610,755836,1746058859999,130471.209040,558,321455,55490.349760,0
1746058860000,0.172600,0.172670,0.172400,0.172430,952811,1746058919999,164378.341690,670,459839,79338.147230,0
1746058920000,0.172430,0.172530,0.172390,0.172490,1289760,1746058979999,222460.227270,488,755480,130304.467680,0
1746058980000,0.172490,0.172660,0.172460,0.172650,976618,1746059039999,168554.553840,435,343415,59271.600370,0
1746059040000,0.172650,0.172820,0.172650,0.172780,2994339,1746059099999,517335.544170,822,2192074,378729.723340,0
1746059100000,0.172780,0.172840,0.172650,0.172810,1422581,1746059159999,245748.795360,538,481682,83208.039830,0
1746059160000,0.172800,0.172980,0.172790,0.172860,2341246,1746059219999,404766.944500,976,1290883,223179.532580,0
1746059220000,0.172870,0.172870,0.172610,0.172650,1077397,1746059279999,186140.665300,512,397195,68608.532310,0
1746059280000,0.172640,0.172740,0.172640,0.172670,655651,1746059339999,113220.080200,400,262321,45299.060790,0
1746059340000,0.172670,0.172710,0.172580,0.172590,401276,1746059399999,69282.401130,278,106415,18373.528460,0
1746059400000,0.172590,0.172600,0.172420,0.172420,1315196,1746059459999,226890.988370,970,326631,56356.755130,0
1746059460000,0.172420,0.172510,0.172360,0.172420,2824334,1746059519999,487042.293710,525,1158203,199691.856230,0
1746059520000,0.172420,0.172630,0.172420,0.172450,845548,1746059579999,145873.636010,598,352347,60781.075580,0
1746059580000,0.172450,0.172550,0.172390,0.172550,1605657,1746059639999,276961.305990,487,879920,151795.485270,0
1746059640000,0.172550,0.172740,0.172550,0.172700,1064511,1746059699999,183822.779010,543,828912,143142.801510,0
1746059700000,0.172700,0.172910,0.172660,0.172700,2566694,1746059759999,443512.458960,714,1241670,214529.162630,0
1746059760000,0.172700,0.172770,0.172600,0.172600,744479,1746059819999,128548.173030,453,129980,22448.796450,0
1746059820000,0.172600,0.172600,0.172380,0.172380,1320494,1746059879999,227742.723030,487,592714,102213.537430,0
1746059880000,0.172380,0.172700,0.172380,0.172700,1054623,1746059939999,181907.670430,422,917126,158185.811370,0
1746059940000,0.172690,0.172710,0.172520,0.172570,988125,1746059999999,170559.418710,504,340807,58821.034220,0
1746060000000,0.172560,0.172680,0.172540,0.172630,646133,1746060059999,111554.043010,415,235298,40621.325730,0
1746060060000,0.172620,0.172690,0.172570,0.172680,416088,1746060119999,71832.998660,427,263072,45420.037520,0
1746060120000,0.172690,0.172770,0.172690,0.172740,1251796,1746060179999,216237.405460,405,428527,74017.380990,0
