open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1706745600000,96.9100,97.3500,96.8160,97.3160,44353,1706745659999,4306935.2420,4282,30120,2925838.0700,0
1706745660000,97.3300,97.4800,97.2670,97.4010,23668,1706745719999,2304723.3720,2627,14896,1450517.6710,0
1706745720000,97.4180,97.5980,97.3530,97.5150,19737,1706745779999,1924143.2690,2625,11743,1145059.3240,0
1706745780000,97.5140,97.5140,97.2240,97.2410,17418,1706745839999,1695626.4120,2239,8770,853845.4590,0
1706745840000,97.2410,97.2600,97.0600,97.1400,9364,1706745899999,909827.5010,1377,4039,392417.0520,0
1706745900000,97.1390,97.3460,97.1010,97.1320,15939,1706745959999,1549555.4800,1520,10517,1022313.1100,0
1706745960000,97.1310,97.1310,97.0150,97.0340,26416,1706746019999,2564070.5050,2534,8551,830076.5060,0
1706746020000,97.0340,97.3980,97.0340,97.3940,15819,1706746079999,1538277.0450,2153,11158,1085014.5960,0
1706746080000,97.3940,97.4110,97.2580,97.3060,7212,1706746139999,701956.9250,1336,3754,365373.1650,0
1706746140000,97.3050,97.3550,97.1110,97.3370,9200,1706746199999,894492.9300,1558,4590,446325.2290,0
1706746200000,97.3370,97.4300,97.3350,97.4100,5334,1706746259999,519416.7450,950,2695,262443.7380,0
1706746260000,97.4080,97.4160,97.3030,97.3590,7801,1706746319999,759333.6750,940,3497,340367.2390,0
1706746320000,97.3590,97.3680,97.2410,97.3030,4097,1706746379999,398689.5650,825,2279,221781.6320,0
1706746380000,97.3040,97.4730,97.2710,97.3690,5949,1706746439999,579202.2090,1119,2284,222414.6680,0
1706746440000,97.3710,97.5470,97.3520,97.4440,7609,1706746499999,741740.9870,1191,4802,468102.5090,0
1706746500000,97.4430,97.4880,97.3920,97.3930,6539,1706746559999,637137.0360,1067,3511,342133.1650,0
1706746560000,97.3920,97.5730,97.3920,97.5730,5778,1706746619999,563249.2490,838,4900,477686.0370,0
1706746620000,97.5730,97.6770,97.4290,97.4550,11907,1706746679999,1161397.1410,1736,6746,658131.4860,0
1706746680000,97.4550,97.5000,97.4200,97.4740,6427,1706746739999,626351.4950,978,2422,236045.9050,0
1706746740000,97.4730,97.4840,97.3270,97.3270,9240,1706746799999,899974.6350,1118,1610,156855.6350,0
1706746800000,97.3270,97.3370,97.2160,97.2470,16556,1706746859999,1610399.9490,1741,6970,677955.0350,0
1706746860000,97.2470,97.2470,97.0370,97.1650,13785,1706746919999,1338710.9470,1732,5750,558347.3830,0
1706746920000,97.1700,97.2360,96.9320,97.0390,48702,1706746979999,4727498.4140,3714,13638,1324381.5610,0
