open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1769904000000,0.28649,0.28649,0.28622,0.28629,602641,1769904059999,172566.38455,742,206182,59041.25705,0
1769904060000,0.28629,0.28629,0.28550,0.28588,1628630,1769904119999,465607.42474,1575,608670,174004.63427,0
1769904120000,0.28588,0.28615,0.28588,0.28610,744200,1769904179999,212875.21761,660,467283,133662.36793,0
1769904180000,0.28609,0.28631,0.28602,0.28625,554527,1769904239999,158676.14253,489,359288,102804.50168,0
1769904240000,0.28626,0.28626,0.28625,0.28625,70244,1769904299999,20107.50639,113,16139,4619.95014,0
1769904300000,0.28625,0.28626,0.28609,0.28609,221668,1769904359999,63437.41177,425,40499,11590.02358,0
1769904360000,0.28609,0.28610,0.28596,0.28605,343596,1769904419999,98277.69895,365,156680,44811.49430,0
1769904420000,0.28605,0.28611,0.28593,0.28611,209196,1769904479999,59840.69813,264,144218,41255.87285,0
1769904480000,0.28611,0.28625,0.28611,0.28622,198764,1769904539999,56885.66465,273,116247,33268.57520,0
1769904540000,0.28622,0.28635,0.28622,0.28632,273428,1769904599999,78280.40064,330,231005,66136.34054,0
1769904600000,0.28632,0.28635,0.28624,0.28625,296139,1769904659999,84785.94854,427,95119,27232.78395,0
1769904660000,0.28624,0.28629,0.28616,0.28626,239908,1769904719999,68663.92161,339,121792,34858.97920,0
1769904720000,0.28626,0.28636,0.28625,0.28628,226939,1769904779999,64972.81397,261,159289,45604.79634,0
1769904780000,0.28628,0.28629,0.28607,0.28607,167853,1769904839999,48035.89925,349,57859,16556.44553,0
1769904840000,0.28607,0.28612,0.28593,0.28599,362958,1769904899999,103811.16621,463,126841,36278.14980,0
1769904900000,0.28600,0.28604,0.28590,0.28593,212167,1769904959999,60670.83509,361,78724,22511.54896,0
1769904960000,0.28594,0.28609,0.28593,0.28593,179831,1769905019999,51430.54451,316,77351,22121.70811,0
1769905020000,0.28593,0.28594,0.28586,0.28591,146423,1769905079999,41861.26108,224,85178,24351.76678,0
1769905080000,0.28590,0.28610,0.28586,0.28608,136716,1769905139999,39091.86873,260,103906,29710.55698,0
1769905140000,0.28608,0.28628,0.28608,0.28620,273023,1769905199999,78137.97606,328,231415,66231.57456,0
1769905200000,0.28621,0.28630,0.28620,0.28629,183779,1769905259999,52604.77787,250,89112,25507.16102,0
1769905260000,0.28630,0.28634,0.28629,0.28633,134083,1769905319999,38388.86435,181,103358,29591.95823,0
1769905320000,0.28633,0.28637,0.28613,0.28614,315276,1769905379999,90275.10869,333,181818,52064.04847,0
1769905380000,0.28613,0.28613,0.28603,0.28603,66478,1769905439999,19016.73002,165,2073,593.07274,0
1769905440000,0.28603,0.28618,0.28603,0.28617,79338,1769905499999,22698.27286,165,76595,21913.51355,0
1769905500000,0.28618,0.28618,0.28617,0.28617,8715,1769905559999,2493.99054,51,1899,543.45582,0
1769905560000,0.28617,0.28628,0.28617,0.28626,75892,1769905619999,21722.27545,150,40900,11705.46316,0
1769905620000,0.28625,0.28625,0.28620,0.28624,29118,1769905679999,8334.13359,88,22860,6542.93040,0
1769905680000,0.28625,0.28635,0.28624,0.28631,134794,1769905739999,38594.25717,173,102164,29251.06982,0
1769905740000,0.28631,0.28632,0.28604,0.28604,161110,1769905799999,46103.74203,303,9418,2695.66750,0
1769905800000,0.28605,0.28614,0.28604,0.28613,62527,1769905859999,17887.35288,131,58045,16605.14085,0
1769905860000,0.28614,0.28614,0.28595,0.28595,90548,1769905919999,25900.42181,219,5788,1655.62076,0
1769905920000,0.28595,0.28599,0.28595,0.28598,29153,1769905979999,8336.93899,107,24026,6870.80225,0
1769905980000,0.28599,0.28599,0.28594,0.28598,37105,1769906039999,10611.27062,133,11439,3271.33727,0
1769906040000,0.28598,0.28599,0.28598,0.28599,15994,1769906099999,4574.00854,79,4442,1270.36758,0
1769906100000,0.28598,0.28602,0.28598,0.28602,51075,1769906159999,14607.00511,118,42530,12163.27277,0
1769906160000,0.28601,0.28602,0.28598,0.28599,53623,1769906219999,15336.00671,178,27841,7962.44370,0
1769906220000,0.28599,0.28602,0.28597,0.28599,103861,1769906279999,29704.43549,243,50263,14375.45170,0
1769906280000,0.28599,0.28601,0.28598,0.28600,21870,1769906339999,6254.61296,90,15339,4386.87532,0
1769906340000,0.28600,0.28614,0.28600,0.28613,210710,1769906399999,60280.41092,316,145605,41655.29309,0
1769906400000,0.28614,0.28614,0.28602,0.28605,262670,1769906459999,75146.04893,215,11676,3340.01128,0
1769906460000,0.28606,0.28618,0.28604,0.28617,34967,1769906519999,10003.95157,123,32193,9210.31928,0
1769906520000,0.28617,0.28621,0.28617,0.28620,71948,1769906579999,20590.50617,87,35529,10167.97892,0
1769906580000,0.28621,0.28623,0.28620,0.28623,26907,1769906639999,7701.17956,63,23788,6808.48656,0
1769906640000,0.28623,0.28623,0.28622,0.28622,12137,1769906699999,3473.91838,43,6624,1895.98752,0
1769906700000,0.28623,0.28623,0.28622,0.28623,12499,1769906759999,3577.54342,46,7964,2279.53572,0
1769906760000,0.28623,0.28627,0.28622,0.28627,74428,1769906819999,21303.98782,133,71372,20429.19910,0
1769906820000,0.28626,0.28631,0.28626,0.28630,46295,1769906879999,13253.70822,112,34165,9781.10660,0
1769906880000,0.28630,0.28631,0.28630,0.28630,40369,1769906939999,11557.72293,85,7823,2239.80313,0
1769906940000,0.28630,0.28633,0.28630,0.28632,38794,1769906999999,11107.26117,129,31976,9155.19577,0
1769907000000,0.28633,0.28633,0.28632,0.28633,55446,1769907059999,15875.34307,116,4435,1269.87355,0
1769907060000,0.28633,0.28634,0.28632,0.28633,61829,1769907119999,17703.51676,109,47295,13542.02194,0
1769907120000,0.28633,0.28633,0.28624,0.28624,224618,1769907179999,64308.98765,284,26118,7477.42359,0
1769907180000,0.28624,0.28633,0.28624,0.28633,61242,1769907239999,17532.53845,102,53383,15282.71784,0
1769907240000,0.28632,0.28633,0.28632,0.28632,29265,1769907299999,8379.32637,92,17157,4912.56381,0
1769907300000,0.28632,0.28633,0.28632,0.28632,15370,1769907359999,4400.83508,71,9668,2768.23844,0
